masv,hocky,namhoc,dtbhk,sotchk
16520002,1,2016,6.45,13
16520002,2,2016,5.86,17
16520002,1,2017,6.54,16
16520002,2,2017,5.67,23
16520002,1,2018,2.27,21
16520003,1,2016,8.19,12
16520003,2,2016,7.95,13
16520003,3,2016,7.63,6
16520003,1,2017,8.38,20
16520003,2,2017,8.41,20
16520003,1,2018,8.0,17
16520005,1,2016,4.73,17
16520005,2,2016,1.79,15
16520005,1,2017,4.02,20
16520005,2,2017,3.89,20
16520005,3,2017,6.15,8
16520005,1,2018,4.3,21
16520007,1,2016,7.44,17
16520007,2,2016,7.51,17
16520007,1,2018,7.24,17
16520008,1,2016,6.89,17
16520008,2,2016,5.85,21
16520008,1,2017,7.3,23
16520008,2,2017,6.86,19
16520008,1,2018,7.55,18
16520011,1,2016,7.86,19
16520011,2,2016,6.76,19
16520011,1,2017,7.62,24
16520011,2,2017,7.25,19
16520011,1,2018,5.95,19
16520012,1,2016,7.18,19
16520012,2,2016,5.66,19
16520012,1,2017,5.64,24
16520012,2,2017,6.33,22
16520012,1,2018,4.58,15
16520013,1,2016,7.38,17
16520013,2,2016,5.17,19
16520013,1,2017,6.63,22
16520013,2,2017,6.69,22
16520013,1,2018,5.83,15
16520014,1,2016,8.32,17
16520014,2,2016,5.82,19
16520014,1,2017,4.83,24
16520014,2,2017,3.45,23
16520014,3,2017,0.0,4
16520014,1,2018,5.19,20
16520015,1,2016,5.78,17
16520015,2,2016,6.16,19
16520015,1,2017,7.97,24
16520015,2,2017,7.74,20
16520015,3,2017,8.53,7
16520015,1,2018,7.3,21
16520016,1,2016,7.31,12
16520016,2,2016,7.47,13
16520016,3,2016,7.63,6
16520016,1,2017,7.79,23
16520016,2,2017,8.06,20
16520016,1,2018,8.1,17
16520017,1,2016,7.21,17
16520017,2,2016,6.24,21
16520017,1,2017,7.7,23
16520017,2,2017,5.65,22
16520017,1,2018,5.8,22
16520020,1,2016,8.12,17
16520020,2,2016,7.95,21
16520020,1,2017,8.28,21
16520020,2,2017,8.32,20
16520020,1,2018,7.68,18
16520021,1,2016,8.3,19
16520021,2,2016,7.67,15
16520021,1,2017,8.57,21
16520021,2,2017,7.58,17
16520021,1,2018,7.09,17
16520023,1,2016,5.95,19
16520023,2,2016,4.89,18
16520027,1,2016,4.75,19
16520027,2,2016,0.0,0
16520029,1,2016,7.79,17
16520029,2,2016,7.14,17
16520029,1,2017,7.95,21
16520029,2,2017,7.33,20
16520029,1,2018,7.02,18
16520032,1,2016,0.0,7
16520033,1,2016,7.71,17
16520033,2,2016,5.0,19
16520033,1,2017,8.16,24
16520033,2,2017,7.24,21
16520033,1,2018,7.43,18
16520035,1,2016,7.49,17
16520035,2,2016,6.17,19
16520035,1,2017,6.27,24
16520035,2,2017,7.45,24
16520035,1,2018,7.47,24
16520036,1,2016,7.61,17
16520036,2,2016,5.69,21
16520036,1,2017,5.67,22
16520036,2,2017,5.78,21
16520036,1,2018,3.13,19
16520038,1,2016,3.75,19
16520038,2,2016,0.46,19
16520038,1,2017,4.6,22
16520038,2,2017,0.28,13
16520040,1,2016,6.99,17
16520040,2,2016,6.99,15
16520040,1,2017,6.92,22
16520040,2,2017,7.41,24
16520040,1,2018,7.78,16
16520043,1,2016,7.31,17
16520043,2,2016,5.86,19
16520043,1,2017,8.18,22
16520043,2,2017,8.25,23
16520043,1,2018,7.74,17
16520045,1,2016,5.79,15
16520045,2,2016,6.07,15
16520045,3,2016,5.8,4
16520045,1,2017,6.05,23
16520045,2,2017,6.52,24
16520045,1,2018,5.86,20
16520046,1,2016,8.62,13
16520046,2,2016,8.24,17
16520046,1,2017,7.81,24
16520046,2,2017,8.19,21
16520046,1,2018,7.5,22
16520047,1,2016,7.06,17
16520047,2,2016,6.78,21
16520047,1,2017,7.41,24
16520047,2,2017,7.25,20
16520047,1,2018,6.46,17
16520051,1,2016,7.02,19
16520051,2,2016,5.17,15
16520051,1,2017,5.91,24
16520051,2,2017,5.51,18
16520051,1,2018,4.91,16
16520054,1,2016,7.74,19
16520054,2,2016,7.86,21
16520054,1,2017,8.3,20
16520054,2,2017,7.75,19
16520054,1,2018,9.11,15
16520056,1,2016,4.74,19
16520056,2,2016,0.81,11
16520056,3,2016,5.13,7
16520056,1,2017,4.94,18
16520056,2,2017,4.77,23
16520056,1,2018,0.45,23
16520057,1,2016,8.04,17
16520057,2,2016,7.23,21
16520057,1,2017,8.14,24
16520057,2,2017,7.72,22
16520057,1,2018,7.96,18
16520061,1,2016,6.12,19
16520061,2,2016,5.83,15
16520061,1,2017,7.13,24
16520061,2,2017,7.55,17
16520061,1,2018,5.44,14
16520062,1,2016,6.95,13
16520062,2,2016,7.61,17
16520062,3,2016,8.0,3
16520062,1,2017,7.7,23
16520062,2,2017,8.03,20
16520062,1,2018,7.2,16
16520063,1,2016,5.64,19
16520063,2,2016,6.02,17
16520063,1,2017,6.61,24
16520063,2,2017,7.27,19
16520063,1,2018,7.62,18
16520067,1,2016,6.95,15
16520067,2,2016,6.0,15
